Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
C2,CP_Radial_D16.0mm_P7.50mm,1,2200uF,
C3,0603,1,0.33uF,
C4,CP_Radial_D5.0mm_P2.00mm,1,10uF,
D1,Diode_Bridge_Vishay_GBU,1,GBU4M,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,12VDC,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,24V,
"Q1, Q10, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-220-3_Vertical,10,IRF3205,
Q11,TO-218-3_Vertical,1,TIP2955,
"R1, R4, R5",2010,3,100k,
"R2, R3",2010,2,51k,
"R6, R7",2010,2,470,
R8,2010,1,1,
T1,Transformer_CHK_EI30-2VA_2xSec,1,12-230,
T2,Transformer_37x44,1,Transformer_1P_1S,
U1,DIP-16_W7.62mm,1,TL494,
U2,TO-220-3_Vertical,1,LM7824_TO220,
